backend_name;date;results
ibmqx4;2018-07-05T21:59:08.650Z;{'00000': 481, '00001': 27, '00010': 435, '00011': 30, '00100': 29, '00110': 20, '00111': 2}
ibmqx4;2018-07-05T21:59:08.735Z;{'00000': 186, '00001': 32, '00010': 215, '00011': 34, '00100': 253, '00101': 39, '00110': 234, '00111': 31}
ibmqx4;2018-07-05T21:59:08.808Z;{'00000': 409, '00001': 78, '00010': 423, '00011': 60, '00100': 17, '00101': 4, '00110': 29, '00111': 4}
ibmqx4;2018-07-05T21:59:08.880Z;{'00000': 160, '00001': 58, '00010': 178, '00011': 73, '00100': 224, '00101': 63, '00110': 213, '00111': 55}
ibmqx4;2018-07-05T21:59:08.968Z;{'00000': 375, '00001': 113, '00010': 355, '00011': 110, '00100': 31, '00101': 5, '00110': 30, '00111': 5}
ibmqx4;2018-07-05T21:59:09.069Z;{'00000': 125, '00001': 82, '00010': 167, '00011': 100, '00100': 188, '00101': 92, '00110': 170, '00111': 100}
ibmqx4;2018-07-05T21:59:09.158Z;{'00000': 318, '00001': 191, '00010': 286, '00011': 178, '00100': 17, '00101': 8, '00110': 19, '00111': 7}
ibmqx4;2018-07-05T21:59:09.283Z;{'00000': 101, '00001': 111, '00010': 137, '00011': 146, '00100': 135, '00101': 148, '00110': 124, '00111': 122}
ibmqx4;2018-07-05T21:59:09.368Z;{'00000': 240, '00001': 238, '00010': 243, '00011': 252, '00100': 17, '00101': 9, '00110': 15, '00111': 10}
ibmqx4;2018-07-05T21:59:09.441Z;{'00000': 70, '00001': 157, '00010': 86, '00011': 167, '00100': 102, '00101': 179, '00110': 77, '00111': 186}
ibmqx4;2018-07-05T21:59:09.511Z;{'00000': 182, '00001': 330, '00010': 146, '00011': 322, '00100': 9, '00101': 19, '00110': 4, '00111': 12}
ibmqx4;2018-07-05T21:59:09.601Z;{'00000': 51, '00001': 186, '00010': 64, '00011': 191, '00100': 68, '00101': 220, '00110': 49, '00111': 195}
ibmqx4;2018-07-05T21:59:09.683Z;{'00000': 122, '00001': 389, '00010': 102, '00011': 356, '00100': 6, '00101': 21, '00110': 8, '00111': 20}
ibmqx4;2018-07-05T21:59:09.776Z;{'00000': 40, '00001': 178, '00010': 41, '00011': 242, '00100': 46, '00101': 225, '00110': 36, '00111': 216}
ibmqx4;2018-07-05T21:59:09.916Z;{'00000': 71, '00001': 402, '00010': 74, '00011': 430, '00100': 5, '00101': 19, '00110': 5, '00111': 18}
ibmqx4;2018-07-05T21:59:09.961Z;{'00000': 35, '00001': 190, '00010': 29, '00011': 226, '00100': 42, '00101': 230, '00110': 33, '00111': 239}
ibmqx4;2018-07-05T21:59:10.076Z;{'00000': 72, '00001': 447, '00010': 65, '00011': 385, '00100': 3, '00101': 21, '00110': 6, '00111': 25}
ibmqx4;2018-07-05T21:57:04.708Z;{'00000': 188, '00001': 14, '00010': 250, '00011': 11, '00100': 235, '00101': 8, '00110': 312, '00111': 6}
ibmqx4;2018-07-05T21:57:04.788Z;{'00000': 455, '00001': 25, '00010': 453, '00011': 20, '00100': 36, '00101': 5, '00110': 30}
